Unnamed: 0,x_i,x_j,Label
1070, but you also asked if david could do,it.,GPT_NEO
1071,how many times had she stood by a,"window, and then, with a little sigh, she turned her head and looked at him.",GPT_NEO
1072,and then he looked down and saw,that he was in the middle of a crowd.,GPT_NEO
1073,"the great-winged bird tilted in the air ,",and the bird flew away.,GPT_NEO
1074,he watched her quietly,", and then he said, ""I'm sorry, but I don't know what to do.",GPT_NEO
1075,but then i suppose that,the problem is that the code is not working properly.,GPT_NEO
1076,in order to reach the door,".  ""I'm sorry, I'm sorry,",GPT_NEO
1077,if law was willing to risk prison time to help,"the government, the government would have to pay for the cost of the prison.",GPT_NEO
1078,'you did n't think your cap'n was a-goin ',"out that?"" ""I'm sorry, I'm sorry.",GPT_NEO
1079,"but it was n't far to the bunker ,","ut it wasn't far to the bunker, but it wasn't far to the bunker,",GPT_NEO
1080,"pippa hugs back , but eats her",own food.,GPT_NEO
1081,"then , as if she 'd remembered that","she was a woman, and that she was a man.",GPT_NEO
1082, but the guards here,are not the ones who are supposed to be guarding the gate.,GPT_NEO
1083, i told you this that night and,I told you this that night and I told you this that night and I told you this that night and I told you this that night and I told you this that night and I told you this that night and I,GPT_NEO
1084,he saw an older woman with a thick,", dark brown hair,",GPT_NEO
1085,not so much because he was glenn floeck,ed and his face was a little pale.,GPT_NEO
1086, best i can figure is that,"the first time i try to use the function, it fails.",GPT_NEO
1087,her house is small,", and the house is a small, but beautiful house.",GPT_NEO
1088,i took off my lab coat,"and I was in the middle of a long, long,",GPT_NEO
1089,midway down the hall,", and I was about to go to the bathroom when I heard a voice.",GPT_NEO
1090, you really ought to wear your coats when you,go out.,GPT_NEO
1091,the ones i want to,see.,GPT_NEO
1092, i know you 've never heard,of it.,GPT_NEO
1093,but i am not looking for chemistry here,".  A:  I think you are looking for a ""chemical"" chemistry.  You can find a good online chemistry textbook on chemistry.com.  You can find a good online",GPT_NEO
1094,he must 've given,up' to the 'willingness' of the 'willingness' of the 'willingness' of the 'willingness' of the 'willingness' of the 'willingness,GPT_NEO
1095,polynylop 9 can be used,"to make a variety of products, including a variety of products that are used in the manufacture of food products.",GPT_NEO
1096,elizabeth and i hunted about the bedroom together,. I was in the kitchen when I heard the door open and the sound of a door closing. I looked around and saw that the bedroom was empty. I looked around again and saw that the door was,GPT_NEO
1097,"my door swings open , banging once against","the wall, and the door swings open again,",GPT_NEO
1098,"but , i 'm kind of glad","o see you,",GPT_NEO
1099,he dropped all of his papers and his,wallet.,GPT_NEO
1100," it better be , or my","own, or my own,",GPT_NEO
1101,he 'd moved to the bayou to gain,the advantage of the,GPT_NEO
1102,a woman with a pixie,cut.,GPT_NEO
1103,skyla lays over me until her body molds,me.,GPT_NEO
1104,"he finishes , shaking his head as if to say","""I don't know what to do.",GPT_NEO
1105,the place was n't a bachelor pad by,the time I got there.,GPT_NEO
1106,but it was hard,to find a place to put the money.,GPT_NEO
1107,"well then , i forgive",you for not being able to do that.,GPT_NEO
1108,"it swings all the way open , hitting","the ball in the right position, and then the ball is thrown to the left,",GPT_NEO
1109,it is n't because i,don't know what to do.,GPT_NEO
1110, would you rather i lie and say,"that you are not a liar?""  ""I am not a liar,"" he said.",GPT_NEO
1111,i took a few cautious steps forward,", but the man was still a little too far away.",GPT_NEO
1112,large gushes of avery 's blood pulsate into my mouth,"""I'm sorry, but I'm not going to be able to do this.",GPT_NEO
1113,hes working late near union,time.,GPT_NEO
1114,elizabeth realizes she 's still holding,the key to the future of the world.,GPT_NEO
1115,she laughed as they pulled,into the driveway.,GPT_NEO
1116, i 'd be grateful if you,can help me with this.,GPT_NEO
1117," you 're welcome , mr.","I'm sorry, but I don't know what to say.",GPT_NEO
1118,and she 'd recognize every one of them,".  ""I'm not going to let you go,",GPT_NEO
1119,she slides past me in,"the hallway, and I see her in the doorway.",GPT_NEO
1120,three or four minutes passed before he,was called to the stand.,GPT_NEO
1121,"for almost half a minute , the wall",was covered with a thick layer of dust.,GPT_NEO
1122,are you hitting on,"the wrong guy?"" ""I'm not hitting on the wrong guy.",GPT_NEO
1123,it was too personal a question to ask the,judge.,GPT_NEO
1124," yes , '' david says simply , like it",s a good thing to have a good relationship with a person.,GPT_NEO
1125,her house would do,".  ""I'm sorry,"" he said. ""I didn't mean to hurt you.""  ""I'm sorry,",GPT_NEO
1126,not slowing down he continued to haul hard,", and he was still in the middle of the field.",GPT_NEO
1127,"he believed it , and he pushed me when",I was in the car.,GPT_NEO
1128,i did n't mean,to be a dick.,GPT_NEO
1129,i can see that you are unwilling,to accept the fact that you are not a member of the community.,GPT_NEO
1130,"her feet , clad in ivy 's heavy",and the,GPT_NEO
1131,all the physicians could not determine the,cause of death.,GPT_NEO
1132,"agachak paused , his dreadful eyes",on the ground.,GPT_NEO
1133," it 's a lousy picture ,",ut I think it's a good one.,GPT_NEO
1134,even though the supposed,"""fraud"" was not a fraud, it was a fraud.",GPT_NEO
1135, a very important part of it is,the fact that the,GPT_NEO
1136,"stalking that woman , getting all those","years of experience and experience in the field of psychology and neuroscience,",GPT_NEO
1137,your place is very suiting of,the  particulars of the property.,GPT_NEO
1138,"but it also slowed them down , putting",them in a position to be able to do the same thing as they were before.,GPT_NEO
1139,i had n't seen that,before.,GPT_NEO
1140,not that katie the washboard player was n't,the best.,GPT_NEO
1141, what are you,"doing?"" ""I'm doing it.",GPT_NEO
1142,and when the call had come in from,"the other side of the room, and the door was open, and the door was closed, and the door was locked.",GPT_NEO
1143,everyone halted and put the,door open.,GPT_NEO
1144,as emma started down the porch steps,".  ""I'm sorry, I didn't mean to startle you,",GPT_NEO
1145,we were already an hour into study hall,", and I was already in the study hall.",GPT_NEO
1146,"the water went off and , as much","as I could, I was in a state of shock.",GPT_NEO
1147, you have to,do is to use the following code: $('#my-button').,GPT_NEO
1148,"yes , hes unhappy","hes happy, hes happy,",GPT_NEO
1149,up to this point the,only way to get the data is to use the data from the database.,GPT_NEO
1150,the cancer is caused by,a mutation in the *CYP2B1* gene.,GPT_NEO
1151, i am rushing to,get my hands on a new camera.,GPT_NEO
1152,"just goes to show , jack thought","it was a joke, but it was a joke,",GPT_NEO
1153,the demons figured out what was going on,".  ""I'm sorry, I didn't mean to be rude,",GPT_NEO
1154, i did n't want,to use the same code for the other one.,GPT_NEO
1155,"there were some similarities , but it in",fact was a very different thing.,GPT_NEO
1156,"distinct fingertip bruises ringed my throat ,",and I was so scared.,GPT_NEO
1157, no sitting with other people at,the table.,GPT_NEO
1158,"savannah hugged her briefly , then glanced to eva",ture.,GPT_NEO
1159,"settle in , get comfortable ...",The first thing I did was to get a new phone.,GPT_NEO
1160,how could he answer the question when,he was asked.,GPT_NEO
1161, i 'll agree to,the terms of the agreement.,GPT_NEO
1162,"minerals in the pipes , knocked loose","the water and the water was running out of the pipes, the water was running out of the pipes,",GPT_NEO
1163,i was just wondering if,I could help you with that.,GPT_NEO
1164,i could n't keep it from him for,a while.,GPT_NEO
1165,the judges voices had their own say,".  ""I'm not going to let you go,",GPT_NEO
1166,"'elthek tries to keep it a secret ,","but it's not going to work, so he's going to have to keep it a secret.",GPT_NEO
1167,maybe the heart attack had scared him,".  ""I'm sorry,"" he said. ""I'm sorry.""  ""I'm sorry,",GPT_NEO
1168,i raise her even higher and indulge in,a little bit of the same.,GPT_NEO
1169,he strutted out in front of us now,".  ""I'm sorry, I didn't mean to be rude,",GPT_NEO
1170, i 'll interpret that,"as a ""good"" thing, but I don't think it's a good thing to do.",GPT_NEO
1171,i would have opened for him like a,"big, big,",GPT_NEO
1172,her unguarded question slipped out,of the way.,GPT_NEO
1173, tell me about your,new job.,GPT_NEO
1174,their only preoccupation is,the fact that the  defendant is not a “person” within the meaning of the statute.,GPT_NEO
1175,those from the higher class that came shopping,for them.,GPT_NEO
1176, why would he want to,"be a doctor?  ""I don't know,"" he said.",GPT_NEO
1177, how you 'd look,"at it, and you 'd be able to see it.",GPT_NEO
1178,i just need to check,the status of the file.,GPT_NEO
1179,at all events he 's,going to do.,GPT_NEO
1180,coop grasped her shoulder and,"said, ""I'm sorry, but I'm not going to be able to help you.",GPT_NEO
1181,he looked up at halina as,if she were a child.,GPT_NEO
1182, obtaining the letters could,be used to identify the person who is the victim.,GPT_NEO
1183,"all right matthew ,","I'm a little confused about the word ""matthew"" in the dictionary.",GPT_NEO
1184,but as i walk around the edge of the,"room, i see a couple of people in the corner.",GPT_NEO
1185,yet he 'd seen two in the past,", and one in the future.",GPT_NEO
1186,alfonso closed the curtain on,the first of the two-hour show.,GPT_NEO
1187,you 're telling me that i,m not a good person'  I'm not a good person.,GPT_NEO
1188,owen and jared sat on the couch,".  ""I'm sorry,"" he said. ""I didn't mean to hurt you.""  ""I'm sorry,",GPT_NEO
1189,the buzz of voices and laughter caught me off guard,". I was so happy to see him,",GPT_NEO
1190," one flashlight only , '' he said ,","' he said, '' he said,",GPT_NEO
1191,there would be extreme emphasis on military jargon,", and the use of the word ""military"" in the context of the military.",GPT_NEO
1192,"i rubbed the tears from my eyes ,",I was so happy to see him again.,GPT_NEO
1193,i pressed my back against the wall and lifted up,my arms.,GPT_NEO
1194,it did n't have the same reassuring weight,as the other two.,GPT_NEO
1195,reese palmed her buttock and,then she was on her knees and her legs were on the floor.,GPT_NEO
1196,surely there must be a point at,which the,GPT_NEO
1197,i found a t-shirt with the name,of the person who wrote the letter.,GPT_NEO
1198,bit-by-bit they were forced to,use.,GPT_NEO
1199,"but he 'd get the effect , and","he 'd get the effect, and he 'd get the effect,",GPT_NEO
1200,i give her credit-gwen,".  ""I'm sorry, but I'm not going to be able to help you,",GPT_NEO
1201,i know a lot of you college intellectuals,", but I think you are a very good example of how to do it.",GPT_NEO
1202,i do n't even wear the,same clothes as the one you're wearing.,GPT_NEO
1203,a wide variety of other food was set,up to be used in the production of the food.,GPT_NEO
1204,"nash turned to look at me ,","and I said, ""I'm sorry, but I don't know what to do.",GPT_NEO
1205,putting all his strength into tearing down the,"walls of the house, and the whole of the house was in ruins.",GPT_NEO
1206,abdullah and marcus volunteered to,the expedition.,GPT_NEO
1207, i know she was,"a little bit scared of me, but I was just trying to get her to stop.",GPT_NEO
1208,time passes and yet,the same thing happens.,GPT_NEO
1209,they spared a last look for the crated,", unfortunate,",GPT_NEO
1210,my throat becomes swollen and just as i,"was thinking about it, i heard a voice saying, ""I'm sorry, but I'm not going to be able to help you.",GPT_NEO
1211,he ran his crooked fingers over,the top of his head.,GPT_NEO
1212,with my dad in such a foul mood,".  ""I'm sorry, I didn't mean to say that,",GPT_NEO
1213,the wing-locks tingled and he felt a sense,of relief.,GPT_NEO
1214,dax caught jubal by the,"neck, and the  “caught” was a “caught” in the middle of the line.",GPT_NEO
1215,i steadied my trembling hands and gathered my confidence,".  ""I'm sorry,",GPT_NEO
1216, did you see someone pass through- '' ,,GPT_NEO
1217,instead he slipped a knife from its holster,and stabbed the man in the head.,GPT_NEO
1218,he 'd have monroe add that to,the end of the line,GPT_NEO
1219," lightsong , dear",friend.,GPT_NEO
1220,he splayed his hand against the wood,", and the breeze was falling.",GPT_NEO
1221,do n't forget that,you have to be careful about what you do with your time.,GPT_NEO
1222,"ryu implored his mentor , his","mentor's mentor, and his mentor's mentor to do the same.",GPT_NEO
1223,jenn 's mascara had begun running down her,cheeks.,GPT_NEO
1224,lynda was so close to him that she,could have been in the room with him.,GPT_NEO
1225,"her body visibly clenched , looking ready to go fetal","""I'm going to get you out of here,"" he said.",GPT_NEO
1226,he took alice 's hand and,"said, 'I'm sorry, I'm sorry.",GPT_NEO
1227,if this is what you are meant to,"do, I would suggest that you do the following:  Create a new file named ""test.",GPT_NEO
1228,"instead , i was greeted with",a very nice and very nice response.,GPT_NEO
1229,he leaned forward and buried,his head in his hands.,GPT_NEO
1230,but we know it poisoned the,world.,GPT_NEO
1231,"a select few central students , mostly","from the middle and upper classes, who are not in the top 10.",GPT_NEO
1232,"well , nikki was seeing this other guy ,","nd he was looking at me, and he was looking at me,",GPT_NEO
1233,kiera returned to the table and,the,GPT_NEO
1234,"she saw a guitar on the couch ,","and she was so excited to see it, she was so excited to see it,",GPT_NEO
1235,nothing and no one would stop her from,doing it.,GPT_NEO
1236, i 'm not sure when,you are using the same name for the same object.,GPT_NEO
1237,he held it up and,"said, ""I'm going to take it.",GPT_NEO
1238,"the nature of the ground , broken by","the wind,",GPT_NEO
1239,they '' d thrown most everything in the,way of the,GPT_NEO
1240,"and i think ... .no , i know",".no, i know....no,",GPT_NEO
1241,he asked although it was,not clear whether he was aware of the  prior court’s decision.,GPT_NEO
1242,'if only they 'd get,"it'  I'm not sure if I'm being clear, but I'm not sure if I'm being clear.",GPT_NEO
1243,"when he came back with their beers ,","he was a great guy, he was a great guy,",GPT_NEO
1244,"because , for the first time in her","life, she was able to see the world through the eyes of a man.",GPT_NEO
1245,the shaggy brown strands hung almost to his,ankles.,GPT_NEO
1246,it was good to be,a part of.,GPT_NEO
1247,"taking a step back , i thought back",to the day i was born.,GPT_NEO
1248,"yet even as she obeyed this command ,",she was still in the midst of her fate.,GPT_NEO
1249,"but hell , good-looking babes understood the",need to be a little more friendly to the people who were trying to get the job done.,GPT_NEO
1250,i hate that i just bitched out daisy,-chunk.,GPT_NEO
1251,that i claimed her without thinking about the,fact that she was a woman.,GPT_NEO
1252,"and conner , well he","is a man of the world, and he is a man of the world,",GPT_NEO
1253,as i watched his expression transform into that,of a man who had been in the company of a man who had been in the company of a man who had been in the company of a man who had been in the company of a man who had been,GPT_NEO
1254,serena twisted her hair and tossed it,into the air.,GPT_NEO
1255, and then there 's my dig projects,"I'm not sure if I'm doing this right, but I'm not sure if I'm doing this right.",GPT_NEO
1256, you know what the answer,"is?  A:  The answer is ""yes"".",GPT_NEO
1257,xerxes popped up to race to,"the top of the hill, and the crowd was cheering.",GPT_NEO
1258,i will be the best,".  The first thing I did was to get a copy of the book. I was going to do it in a few days,",GPT_NEO
1259,"prothvar would rise , too , meet them",and they would be the first to know.,GPT_NEO
1260,you two finally paid off the last,of the two.,GPT_NEO
1261,my biggest fear was,that the world would be a better place if the world was a better place.,GPT_NEO
1262,but i knew you were coming to the fourth,floor.,GPT_NEO
1263,"still clinging to her humanity ,",and she is not the only one who has been affected by the loss of her humanity.,GPT_NEO
1264,"also , instant coffee sort of sucks ,",ut it's not like it's a bad thing to have a coffee machine.,GPT_NEO
1265,he would try to say it did n't,"the time, but it was a good thing.",GPT_NEO
1266,i never would 've sent kent to stay,with me.,GPT_NEO
1267, my father liked to claim that he fell,in love with a woman who was a woman.,GPT_NEO
1268, why do you,think that is the case?  A:  The answer is no.,GPT_NEO
1269,promise me that you wont do,anything wrong.,GPT_NEO
1270, why are n't you,""" ""I'm sorry.",GPT_NEO
1271," tell me , what actually happened","""  ""I don't know,"" said the man.",GPT_NEO
1272,when he was with valerie,", he was a little bit of a foolish fellow.",GPT_NEO
1273,there would be some sort of farinaceous substance,", and the others would be more or less like the earth.",GPT_NEO
1274,i do n't want to do anything you 'll,want to do.,GPT_NEO
1275,let me tell you,", I'm not going to let you do that.",GPT_NEO
1276,his first word did n't make it out,"""I'm sorry,"" he said.",GPT_NEO
1277,she brushed back manolito 's hair with gentle,fingers.,GPT_NEO
1278,she knew it in the,first place.,GPT_NEO
1279, i trust you 'll stay out of my,way.,GPT_NEO
1280,"the more men he had with him ,",he would have to be a man of the world.,GPT_NEO
1281,"imagine it , a country utterly dependent on oil bringing",in the world's wealth.,GPT_NEO
1282,and little boys like you deserve,to be treated like that.,GPT_NEO
1283," hey , '' she","s a little bit like a little girl, '' she's a little bit like a little girl,",GPT_NEO
1284,"dick allison screamed , and brought his left fist",to his mouth.,GPT_NEO
1285,there 's an overturned bookshelf blocking,the door.,GPT_NEO
1286,"growing up as a child , alexandra frost was",a very good teacher.,GPT_NEO
1287,"instead , i tightened my fingers in her",hair and she was gone.,GPT_NEO
1288, but it 's still,a bit of a mystery to me.,GPT_NEO
1289,by the time he 'd gotten around to,"writing a book about the  ""discovery"" of the ""discovery"" of the ""discovery"" of the ""discovery"" of the  ""discovery"" of the ""d",GPT_NEO
1290,but the little money i had left,for the new house was gone.,GPT_NEO
1291,"there was her mother demeter , of course",but she was a very good girl.,GPT_NEO
1292,it was n't even the career she,d been in.,GPT_NEO
1293,she was the only one who had the,courage to ask her to come to the house.,GPT_NEO
1294,he sat up on one,of the chairs and looked at the clock.,GPT_NEO
1295," please , '' i said , as","said, '' i said,",GPT_NEO
1296,one of the guards was sick and they,were all dead.,GPT_NEO
1297,it feels strange to greet each other with,a hug.,GPT_NEO
1298, i made you,a little bit of a mess.,GPT_NEO
1299,macklin decided that a defensive posture was n't,necessary.,GPT_NEO
1300,but neither dariana nor,dariana is a  substitute for the other.,GPT_NEO
1301,he smiled for the first,time since he had seen her.,GPT_NEO
1302,but she could n't hear a thing,"""I'm sorry,"" she said.",GPT_NEO
1303, that 's your decision,'  'I'm not going to be a part of that.,GPT_NEO
1304, i feel like that would be,a good thing.,GPT_NEO
1305,"i felt the climax rise in him ,",and he was in a state of shock.,GPT_NEO
1306,yet the lightning never struck the ground,".  ""I'm sorry,"" said the girl,",GPT_NEO
1307,"we are on the seventh floor , announced the","new building, and the new building is the first of its kind in the world.",GPT_NEO
1308,"then , holding up a couple of fingers","and then a couple of fingers, and then a couple of fingers,",GPT_NEO
1309,"he clears his throat , and i finally",get to the point where i can say that i have a problem with the way i'm doing it.,GPT_NEO
1310,might i remind you,"that the first time i saw you was in the middle of a game, and i was in the middle of a game.",GPT_NEO
1311,"she turned to kabsal , meaning to tell him","that he was a  ""good guy"" and that he was ""a good guy"" and that he was ""a good guy""  and that he was ""a good guy""",GPT_NEO
1312,"he stops and looks at me intently ,",and I see that he is staring at me.,GPT_NEO
1313,"and perfectly sweet , his","eyes were bright and sparkling, and his voice was very sweet.",GPT_NEO
1314,although ... maybe she would,have been more  concerned about the fact that she was not a member of the  community.,GPT_NEO
1315,the chains jingled as the,sun rose above the horizon.,GPT_NEO
1316, why are you offering,to help me?  I'm a little confused.,GPT_NEO
1317,my hand clasped around,"her neck, and she was still breathing.",GPT_NEO
1318,ozzie thought he could use the dui,to get the money.,GPT_NEO
1319,the only reason i do n't use my,own is because i don't want to use the same code for all the other classes.,GPT_NEO
1320,- shakespeare bates opened his,eyes to the world.,GPT_NEO
1321,things will start making sense,.  The first thing to do is to get the most out of the new version of the game. The game will be released in the next few weeks.  The game will be available for download on the PlayStation,GPT_NEO
1322," no , but they come",in a variety of forms.,GPT_NEO
1323,by the time brady came to see her,", she was in the middle of a couple of the most beautiful women in the world.",GPT_NEO
1324,but the other two,are the same.,GPT_NEO
1325,"sheemie would have emptied the spittoons , but",it was a good thing.,GPT_NEO
1326,"three weeks later ,",the court issued a final judgment in favor of the plaintiff.,GPT_NEO
1327,"first day on the job , my trainer","he was a very good trainer, he was very good at his job,",GPT_NEO
1328,"cherry 's momentum carried him stumbling sideways , and",e was unable to get out of his way.,GPT_NEO
1329, no drugs are,available for the treatment of the disease.,GPT_NEO
1330,he pulled the car onto the access,road.,GPT_NEO
1331,i just feel like you were forced on,me.,GPT_NEO
1332,when will you change,"your mind?  I have been thinking about this for a while now, and I have been thinking about it for a while.",GPT_NEO
1333,after her initial refusal on monday,", she was given a chance to  receive a $1,000 reward for her actions.",GPT_NEO
1334,"i mean , seems a bit strange","I'm not sure if this is a bug or a feature, but I'm not sure if it's a bug or a feature.",GPT_NEO
1335, do you still see yourself,as a woman?  I don't know.,GPT_NEO
1336,"with a brief wave , sophie turned to","the other side of the room and said, ""I'm sorry, but I don't know what to do.",GPT_NEO
1337,"if dirk eliminates bartholomew , then rann ,",nd the rest of the book is a little bit more complicated.,GPT_NEO
1338,"is that , our sons","are the sons of the Lord, and the Lord is the Lord.",GPT_NEO
1339,"he tasted salty from the tears , but",it was not bitter.,GPT_NEO
1340,"i watched my husband , the man who",was the most important person in my life.,GPT_NEO
1341,while she 'd been away from her body,"for a while, and then she was gone.",GPT_NEO
1342,david bit his lip,", and he said, ""I'm not going to do it.",GPT_NEO
1343,'cause we 've got a,lot of work to do.,GPT_NEO
1344, working out where the rescue party,was.,GPT_NEO
1345,they'll- ''  i need,to go to the bathroom.,GPT_NEO
1346,"i stayed in the kitchen , making",sure to keep the food in the fridge.,GPT_NEO
1347,"and now finally , we can move on",to the next step.,GPT_NEO
1348,"the two stand tall , rising to each",other in the middle of the room.,GPT_NEO
1349, it 's vastly preferable to assume the shape of,the,GPT_NEO
1350,well chrissy couldnt think of any movies or books,that would make her feel better.,GPT_NEO
1351," and you 're a cool chick ,",ou can 't 't 't get it.,GPT_NEO
1352,the truck veered into the ditch for a moment,", then turned and ran.",GPT_NEO
1353, it was the kind of craft the crescent,-shaped crescent-shaped crescent-shaped crescent-shaped crescent-shaped crescent-shaped crescent-shaped crescent-shaped crescent-shaped crescent-shaped crescent-,GPT_NEO
1354,she tried to avoid touching the railing on,"the bridge, but she could not.",GPT_NEO
1355,i think we 've reached the,end of the world.,GPT_NEO
1356,"doc , manfist said , why",s it that the manfist is so much more than just a man?  I think it's because he's a man.,GPT_NEO
1357, i do n't like,"it, but I think it's a good idea to have a look at the code.",GPT_NEO
1358, i 've already chatted with him for,a while.,GPT_NEO
1359,i know you are just playing,with me.,GPT_NEO
1360,"i held my awkward smile , not sure",if I was joking or not.,GPT_NEO
1361,ill be gone for the rest of the,day.,GPT_NEO
1362,the shower curtain caught my weight and for,a moment I was afraid to look at it.,GPT_NEO
1363,i 'd tried to let go of my own anger,", but I was too angry to do anything about it.",GPT_NEO
1364,he no longer burned the pincer nor was,it the only thing that remained of the house.,GPT_NEO
1365,that stunt your boy pulled over,the police station.,GPT_NEO
1366,i got straight to the,point.,GPT_NEO
1367,now that i knew she was on the,"phone, but i didn't know if she was on the phone or not.",GPT_NEO
1368,"yes , i do , but it will",e a lot of work to get the right results.,GPT_NEO
1369,lexi thought the abbreviated version of that,sentence was a good one.,GPT_NEO
1370,it did n't stop the mothers from pursuing,the children.,GPT_NEO
1371,he turned his head and lifted,his head.,GPT_NEO
1372," what , just because i 'm a woman","i'm a man, i'm a woman,",GPT_NEO
1373," amos , '' naomi said over her",'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '',GPT_NEO
1374,bear and i sat shoulder to,shoulder with my father.,GPT_NEO
1375,you know i got your dream,"?"" ""I'm sorry.",GPT_NEO
1376,we can take over the,world.,GPT_NEO
1377, these pardoned lords would do,so much for the country.,GPT_NEO
1378,tree branches hung over the pavement and,the  police officer was called to the scene.,GPT_NEO
1379,and i believe he still,has a lot of work to do.,GPT_NEO
1380,he prayed that she and jordan would,be able to have a couple of drinks.,GPT_NEO
1381,a few canadian geese passed overhead,".  The first thing to do is to get a good look at the area around the house.  The house is a small one,",GPT_NEO
1382,the scent of damp keeps the darkness company,".  ""I'm sorry, I didn't mean to sound like a bitch,",GPT_NEO
1383,but neither had she expected to be kidnapped,".  ""I'm sorry,"" she said. ""I didn't mean to hurt you.""  ""I'm sorry,",GPT_NEO
1384, they 're like the,"ones who were in the movies, but they were not.",GPT_NEO
1385,"he wrapped her in his good arm ,",and she was so happy.,GPT_NEO
1386,"he grunted , waited a","moment, then said, ""I'm not sure what you're talking about.",GPT_NEO
1387,"without answering , leo got to his feet",and walked away.,GPT_NEO
1388,he sees me as a mousy librarian who writes thrillers,and plays the piano.,GPT_NEO
1389, i like helping new artists,to get their work out there.,GPT_NEO
1390,"no , i had a real","problem with the code, but i can't find a way to fix it.",GPT_NEO
1391,"she had many ingredients now , stowed away , but",he was not sure how to use them.,GPT_NEO
1392,she reaches up and cups my face,".  ""I'm sorry,"" I say. ""I didn't mean to hurt you.""  ""I'm sorry,",GPT_NEO
1393,beth grabbed her woolen jacket,and pulled her into the car.,GPT_NEO
1394,she was the one who 'd been wronged,' by the,GPT_NEO
1395,what if they decide,to go to the police?  I don't know.,GPT_NEO
1396,she got off the toy she drove and,she was in the car.,GPT_NEO
1397,"fortunately , sylvia was",a very important part of the history of the city.,GPT_NEO
1398,and i raged at him for hiding himself,in the dark.,GPT_NEO
1399,he mentioned wanting to be a zen buddhist,".  ""I'm not a zen buddhist,",GPT_NEO
1400,"to get the promotion to captain , he","was a very good player, he was a very good player,",GPT_NEO
1401,he was n't even all,that good.,GPT_NEO
1402,apart from the geographical intimacy that we shared,".  The first thing I did was to ask the woman who was in the room, if she was in the room,",GPT_NEO
1403,"or maybe she 's just stronger than i am ,","ut i think she is stronger than i am, but i think she is stronger than i am,",GPT_NEO
1404,"they chronicle the past of all engla-lond , and",the future of all engla-lond.,GPT_NEO
1405,"half of us are n't even earth citizens ,",ut we are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the,GPT_NEO
1406,seth breathes through his mouth,", and he takes a long time to get his breath back.",GPT_NEO
1407,"at that very moment , fireworks exploded",in the sky.,GPT_NEO
1408,"while squatting in the field , what comes",next is a big deal.,GPT_NEO
1409,"her arms and legs felt like lead , but",they were not strong enough to hold the weight of the body.,GPT_NEO
1410,frankie put her hands on her,hips and she was crying.,GPT_NEO
1411,the septon was arranging,for the  defendant to be arrested.,GPT_NEO
1412,chapter eight the next couple weeks of my,life.,GPT_NEO
1413,for the first time he realized that flagg,us was not a  “fellow” and that he was not a “fellow” for the purpose of  “filling in the record” for the,GPT_NEO
1414,he knew more about life,than he knew about the world.,GPT_NEO
1415,please just let me go home,"."" ""I'm going to be a little late."" ""I'm going to be late."" ""I'm going to be late."" ""I'm going to be late."" ""I'm going to be late."" """,GPT_NEO
1416,"tiffany showed her into the kitchen , then","she was taken to the bathroom, then she was taken to the hospital,",GPT_NEO
1417, why the hell did n't,have a chance to get it done.,GPT_NEO
1418,you would have succeeded this way in not making himself/herself/themselves,a target.,GPT_NEO
1419,adam knew the hunters would come looking for,him.,GPT_NEO
1420,"she stayed on her back , hidden",in the bushes.,GPT_NEO
1421,was jial aware of her emotions,",",GPT_NEO
1422, the saddles were switched before you came,out.,GPT_NEO
1423,"his gaze scanned the room , looking for an escape","""What are you doing?""  ""I'm trying to get out of here.",GPT_NEO
1424,"now ! excitement , fierce in its intensity","and the  "" _I_, the _I_,",GPT_NEO
1425,even though i had pounded on the door,"and the door was still open, i was still in the kitchen.",GPT_NEO
1426,i could do with some,of the things I've done.,GPT_NEO
1427,a new white gown of venetian silk with slashed,edges and a gold-plated hem.,GPT_NEO
1428,"if you go and break my legs ,",I'll be back in a few minutes.,GPT_NEO
1429,chapter two she had tried,"to get her hands on her phone, but she couldn't find it.",GPT_NEO
1430,"by the way , brendan , you","an use the following code to get the value of the variable : $data = array(     'name' => 'John',     'age' => 30,",GPT_NEO
1431," fastidiousness , wariness , allergies to pointless","nd unnecessary foods, and the fact that the food is not made of meat,",GPT_NEO
1432,"in the end , it just made us",feel better.,GPT_NEO
1433,marge was the type to,be used in the first place.,GPT_NEO
1434,"as we ate , i eventually worked up",to the point where i was able to eat a lot of food.,GPT_NEO
1435,"he got closer , his face got closer ,","is eyes got closer, his body got closer,",GPT_NEO
1436,the deputy led the way,".  ""I'm sorry, sir,",GPT_NEO
1437,so much for those self-defense classes i 've,been told to 'treat' and 'treat' and 'treat' and 'treat' and 'treat' and 'treat' and 'treat' and ',GPT_NEO
1438," yes , and i was",a bit confused.,GPT_NEO
1439,get her before she runs out the door,".  ""I'm sorry, I'm sorry,",GPT_NEO
1440,the smile faded though when she,saw the man's face.,GPT_NEO
1441,but it 's never made me,feel like I was in a hurry to get it done.,GPT_NEO
1442,"well , as much fire as he",could muster.,GPT_NEO
1443,i thought i saw a light ... a,light.,GPT_NEO
1444, and then you can,use the following code to get the value of the variable: $this->db->select('*');  This will return the value of the variable.,GPT_NEO
