Unnamed: 0,x_i,x_j,Label
1516,the earthling took a seat on,the throne.,GPT2
1517, somehow i do n't see that ending with,a smile.,GPT2
1518, he 's not innocent,".""I'm not going to lie to you, but I'm not going to lie to you,",GPT2
1519,"they were filled with supplies-one a pantry ,","one a kitchen , one a bathroom ,",GPT2
1520,she still wore her jeans but had,a pair of black sneakers.,GPT2
1521,i move my eyes from the,screen to the screen of the computer.,GPT2
1522,their brother adas joined them at the,end of the day.,GPT2
1523,nano gazed down the dark cavern,"s of the city, his eyes wide with terror.",GPT2
1524,imperial avenue was a four lane divided highway,". The road was divided into two lanes, one for the east and one for the west. The east lane was divided into two lanes,",GPT2
1525, and did anything jump,out at me.,GPT2
1526,jonathan 's going to bust something when,he's done with the team.,GPT2
1527,"for instance , i can appreciate the multi-billions","of dollars that are being spent on the ""new"" version of the game.",GPT2
1528,it 's impossible not to,be impressed with the way the game is played.,GPT2
1529,cyn 's footsteps sounded,like a thunderclap.,GPT2
1530,"all his life , even when soldiers fought",him.,GPT2
1531,"liz smiled coyly , her eyes",wide.,GPT2
1532,"while laughing at her comment , seth rushed",to the door and grabbed the girl's hand.,GPT2
1533,i unwound myself from him and could,not help but feel that he was not the man he had been expecting.,GPT2
1534," like wolf said , the real","wolf said , the real wolf said ,",GPT2
1535,i 'd always thought,"that he was a good man, and that he was a good man,",GPT2
1536,i was happy there and no,one else was.,GPT2
1537, i 've missed my family so much,. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I,GPT2
1538,"well , replied mitch , i might have to",go back to the old days.,GPT2
1539,i knew that in the wolf world,", there was no such thing as a wolf.",GPT2
1540,an entire dam of words,".""I'm not going to say that I'm going to say that I'm going to say that I'm going to say that I'm going to say that I'm going to say that I'm going to",GPT2
1541,if you 're not comfortable doing this,", you can always just go ahead and do it yourself.",GPT2
1542,"surely , the cops would",have been able to get a warrant out of the way.,GPT2
1543,again positioning himself face-down and grasping the floor,", he was able to get a few more rebounds and a few assists.",GPT2
1544,kenny turned his laptop,into a computer and started to read the news.,GPT2
1545, why did n't,"have a chance to get a job?""I'm not sure I'm going to get a job,"" he said.",GPT2
1546,lady aquitaine wore clothing similar to amara 's,", but she wore a black dress with a black skirt and a black skirt with a black skirt.",GPT2
1547,the trance-like state was to be triggered by,the presence of a certain kind of energy.,GPT2
1548,ssassi withdrew a small pile of midnight black fragments that,had been found in the basement of the house.,GPT2
1549,"with the bridge out , the walk","way is a little bit longer than the walkway, but it's still a good walk.",GPT2
1550,he clamped the other end of,the rope to the ground and then pulled the rope back up.,GPT2
1551," god , you feel good , ''","""You're not going to get any more love from me, you know?""""I'm not going to get any more love from you,",GPT2
1552, all 's far in fake dating and,"dating, and I'm not sure if I'm going to be able to find a partner who's willing to take on the challenge.",GPT2
1553,he had not seen her since,she was a child.,GPT2
1554,"briefly , i considered slapping him",", but he was so angry that he didn't even bother to say anything.",GPT2
1555,he lets her go long enough to grab,her by the neck and pull her into a hug.,GPT2
1556,a bright green stone sat in,the center of the room.,GPT2
1557,there was no scolding when she saw,the man.,GPT2
1558,"unfortunately , almost everything else was",done by the same people.,GPT2
1559,sonia thought that was a bit overkill considering no one,was going to be able to see it.,GPT2
1560,chapter 37 the boss of you the cool crisp breeze,.The boss of you the cool crisp breeze. The boss of you the cool crisp breeze. The boss of you the cool crisp breeze. The boss of you the cool crisp breeze. The,GPT2
1561,although i intend to make,"a video about it)I'm not sure if this is a good idea, but I'm sure it's a good idea.",GPT2
1562,"his usually gloriously and enormously spiked hair ,",and his eyes were so bright that he could see through the darkness.,GPT2
1563,a little overcome with the knowledge of the,world.,GPT2
1564,she 'd always considered herself lucky that rory,"was a girl, and that she was always the one who would get her to go to school,",GPT2
1565,"he angrily brushed it away , spitting to",himself.,GPT2
1566,cawley took a slow,", deliberate step forward.",GPT2
1567,"clearly , that idea was","not only a good idea, but also a good idea that would be good for the future of the world.",GPT2
1568," you bastard , ''","""You're a fucking idiot, ''""You're a fucking idiot,",GPT2
1569,my husband quit drinking alcohol,and started drinking.,GPT2
1570,"i hate it , hate it- oh yeah",", I'm not sure if I'm going to be able to do that.",GPT2
1571,no one 's going,to be able to tell me what's going on.,GPT2
1572,"the way she looked at him , her",eyes were filled with tears.,GPT2
1573,"if i killed you now , the only",thing you can do is to kill me.,GPT2
1574,i taught him how to play my favorite,"game, and he was so impressed with my play that he asked me to teach him how to play it.",GPT2
1575,i stared at him then said,", ""I'm sorry, but I'm not going to be able to do this.",GPT2
1576," it was n't so very cold ,",but it was still cold .,GPT2
1577,he returned to his study and,began to read.,GPT2
1578," jesus , mase you scared",me.,GPT2
1579,"but this was different ,",and I was able to get a better understanding of the game.,GPT2
1580, but that's-no wonder you always went all,the way to the top.,GPT2
1581,her boys could be heard,in the background.,GPT2
1582,she had to maintain control,of the situation.,GPT2
1583, i 'm surprised to hear i 'm,not the only one who has been affected.,GPT2
1584," yes , and come summer , we","'ll be back to the same old, same old.",GPT2
1585,but the past pleasure of my chat with,you is that you are a very good friend.,GPT2
1586,i shut my eyes and attempt to,focus on the situation.,GPT2
1587,elissa pulled back quickly and jemima,'s face was red.,GPT2
1588, aes sedai training is very extensive in relation,to the training of the body.,GPT2
1589, do you need,to know?The answer is yes.,GPT2
1590,"he hissed , his",voice was so low and low that he could barely hear the words.,GPT2
1591,"i hope i am not sounding harsh ,",i am just saying that i am not going to be able to do this for a long time.,GPT2
1592,"we 're still considering that option , but",I'm not sure if it's worth it.,GPT2
1593, i do n't want,to be a part of this.,GPT2
1594, you really think there was,a problem with the way the game was played?I think it was a lot of fun.,GPT2
1595,last time we were,"in the middle of a war, and we were in the middle of a war.",GPT2
1596,'we 've lost ahmed,", we 've lost ahmed,",GPT2
1597,there was a short pause at the other,"end of the line, and then the man who had been standing there,",GPT2
1598,because he 'll walk,away' from the deal.,GPT2
1599,"and whatever you do , keep your guns",out of the way.,GPT2
1600,"gobbled up chester , his",eyes were filled with tears.,GPT2
1601,what about that maniac,"who's been in the news for a while now?I'm not sure if he's a real person, but I'm sure he's a real person.",GPT2
1602,"when they burst outside , the cool evening",air will be filled with the scent of the sun.,GPT2
1603,she did n't see the actual biting,".""I'm sorry, but I'm not going to do that,",GPT2
1604,the battle priest charged forward and made enough,of a dent in the wall to break the wall.,GPT2
1605,"easing his finger out , he crawled up her",skirt and pulled her panties down to her ankles.,GPT2
1606,she slung one backpack over her shoulder and,looked at the other.,GPT2
1607,a part of her that still unthinkingly conformed,to the law.,GPT2
1608,"god be with you , my son he","is with you , my son he is with you ,",GPT2
1609," that 's not true ,",but it's true.,GPT2
1610,"no , its too far and its too dangerous ,",and it's too dangerous to be safe.,GPT2
1611,i was in the door,".""I'm sorry, I'm sorry,",GPT2
1612,he must be at the passenger 's,"door, and he must be at the door of the passenger's house.",GPT2
1613, i 'm here,.'I'm not going to tell you what to do. I'm not going to tell you what to do. I'm not going to tell you what to do. I'm not going to tell you what to,GPT2
1614,he seemed oddly refined despite his careless attitude,".""I'm not going to be able to do that. I'm not going to be able to do that. I'm not going to be able to do that. I'm not going to",GPT2
1615,something tells me that that is,what the story is about.,GPT2
1616,chapter three the terrain is,not as clear as it should be.,GPT2
1617,"now , as toby looked into the dressing room",".""I'm not going to be able to do that,",GPT2
1618,and way better than sitting in the,back of a car.,GPT2
1619,"i grab a mop , a broom and",a broomstick and you're done.,GPT2
1620, because you 're going to freak out,".' """"I'm not going to be able to do that,",GPT2
1621, so no one 's robbed,of their money.,GPT2
1622, i just do n't want,to be a part of it.,GPT2
1623,a rumble built in his throat,".""I'm sorry, I'm sorry,",GPT2
1624,"he wanted to say , be quiet , and you",'ll be fine.,GPT2
1625,"several minutes passed in silence , and while","the rest of the group was still in the room, the group of people who had been waiting for the news were suddenly interrupted by a loud bang.",GPT2
1626,"reaching down , he worked the",whole time.,GPT2
1627,the smart thing to do would 've been,to make sure that the people who are going to be in charge of the government are not going to be the ones who are going to be the ones who are going to be the ones who are going to,GPT2
1628,he called paul who warily approached,"him and said, ""I am a man of the people, and I am a man of the people.",GPT2
1629," you know , one of the things","that I've learned is that you can't just say, ""I'm going to do this,"" because you're not going to do it.",GPT2
1630,this gives the baby shark about,a 10-minute window to get to the bottom of the ocean.,GPT2
1631,which is exactly why french will,be the language of choice for the next generation of gamers).,GPT2
1632,she had known this was,going to happen.,GPT2
1633,i have little time with you and i,am not going to be able to do anything about it.,GPT2
1634,is that what you were,doing was wrong.,GPT2
1635," indeed it was , virginia",", that was the first time that I had ever seen a woman in my life.",GPT2
1636,got a spare t-shirt,", and I'm going to go to the gym.",GPT2
1637,all swirls about him as he,tries to figure out what's going on.,GPT2
1638,i hiss out a breath when she sneaks,up behind him.,GPT2
1639,i wanted to stay in that little,town.,GPT2
1640,"according to fallon jones , no one understands","the meaning of the word ""fraud"" in this context.",GPT2
1641,none of the vampires even glanced in her,direction.,GPT2
1642,* * * * * liam woke,up and started to cry.,GPT2
1643,"jack , he said ,","""I'm not sure if I'm going to be able to do it.",GPT2
1644, i truly believe you 're the greatest,of all time.,GPT2
1645,"lia was afraid to ask ,",but he was afraid to ask her about it.,GPT2
1646,being raised in passage without an,education.,GPT2
1647,"the white space flexes , folds ... 2",". The white space flexes , folds ... 3. The white space flexes ,",GPT2
1648,"sanchez listened to my story , listened to","my story , listened to my story ,",GPT2
1649,"come back early on monday , leave your",phone at home and go to bed.,GPT2
1650,i felt a little guilty that he 'd,ied' in the first place.,GPT2
1651,it 'll be coming down,to the wire.,GPT2
1652,but i will come and give your butt,a good fuck.,GPT2
1653,"of course , he could n't show",up for the game.,GPT2
1654,jess and i had been inseparable for years,.I was a little bit of a tease. I was a little bit of a tease. I was a little bit of a tease. I was a little bit of a tease. I,GPT2
1655,while he might have been disappointed not to,have been able to get a job.,GPT2
1656,"but callum faded away , to darkness ,","to the light of the sun , to the light of the moon ,",GPT2
1657,i staggered with him across the finish line,".""I'm not going to lie, I was really happy with the finish,",GPT2
1658,she never told me how she,felt about it.,GPT2
1659,you the drake neck snaps his skull at,the sight of it.,GPT2
1660,"god , she looked",at him with a smile.,GPT2
1661,why do you not,"know that the world is a better place than it was before?""""I don't know.",GPT2
1662,then i spent a long time re-measuring them,.I'm not sure if it's because I'm a little too lazy or if I'm just too lazy to do the math. I'm not sure if it's because I'm,GPT2
1663,"or at least ,",but I'm not sure if it's a good idea to use it.,GPT2
1664," i like this , ''",", '' ,",GPT2
1665,"yes , the last time you","saw her, she was a little girl.",GPT2
1666,i said the words even though i knew,they were not true.,GPT2
1667,ali and i flirted a lot,". i was a little nervous about it,",GPT2
1668,i crouched down and pet luc,"ifer, who was still in the air, and the two of them were about to fight.",GPT2
1669,then i smiled at marshall as he stared,at her.,GPT2
1670,he has managed to,"get his hands on a few of the most popular games of the year, including the latest installment in the series, The Legend of Zelda: Breath of the Wild.",GPT2
1671, you think this,is a good idea?I think it's a good idea.,GPT2
1672,as i stand outside the coffee,"shop, and I'm sitting there, and I'm like, ""Oh my God, I'm so sorry.",GPT2
1673,the woman who had gotten people to fill water,"bottles with water,",GPT2
1674," not cyvasse ,  tyrion agreed",",  tyrion ,",GPT2
1675,i gave my cousin a rueful,look.,GPT2
1676,she 'd failed to put that,"in the right context, and I think that's a mistake.",GPT2
1677,skyrgal recognized those swords and the metal in,their hands.,GPT2
1678,now get back inside unless you want,to go back to the beginning.,GPT2
1679,i shat pieces of corn this,year.,GPT2
1680,chapter 7 the room i was starting in was,a small room with a large table and a large table with a large table.,GPT2
1681,when the two assassins reached the corner of,"the room, they were met by a group of men who were dressed in black and carrying weapons.",GPT2
1682,"the she dried him , made him lay",down on the ground and he was dead.,GPT2
1683,at worst just more than,the other two.,GPT2
1684," we should probably get you home , '' i",said.,GPT2
1685,reaching in he withdrew a box,of the same name.,GPT2
1686,the shrill cry of a siren broke,out in the air.,GPT2
1687,"brett lost control of the car , skidded into a","ditch and died , and the car was found in the woods ,",GPT2
1688,'i thought there was something subhuman about,the way he was dressed.,GPT2
1689,"between his toes , a tiny black line skittered",across his face.,GPT2
1690,and they have other cases,where they have been found to be in violation of the law.,GPT2
1691,the girl had wanted answers-and perhaps,she was right.,GPT2
1692,but that reminded me that i,was going to be doing a lot of work on this project.,GPT2
1693,i 'm overly conscious of the brightness of,"the sun's rays, and the sun's rays are too bright to be seen.",GPT2
1694,i sat at my small desk in the,"living room, and I was thinking about the next few days.",GPT2
1695,a dorm that seems less like a,dorm and more like a dorm with a lot of people.,GPT2
1696,"the voice sounded familiar , but",it was not.,GPT2
1697,people were n't kind,of like that.,GPT2
1698,"he cupped my ass , almost lifting me up",to my feet .,GPT2
1699,'where are we going with,"this?""""I'm not going to tell you what I'm going to do,"" she said.",GPT2
1700,she only needed a,few minutes to get to the door.,GPT2
1701,humans are too slow any,more.,GPT2
1702, it was really nice,"to see the team's new coach, Mike Brown, come on board.",GPT2
1703,he 'd been telling me that he 'd ordered,"me to kill him, and that he 'd ordered me to kill him,",GPT2
1704,i realise how rotten this sort,of thing is.,GPT2
1705,i just say it,".""I'm not going to say it's a bad thing,",GPT2
1706," well , '' his father",said.,GPT2
1707, does he know you 're,"a good guy?' """"I'm not sure I'm going to be able to say that,"" he said.",GPT2
1708, i believe the next time we do,"something like this, we'll be able to do it in a way that's more sustainable and more sustainable for the people of the United States.",GPT2
1709,"he can say little , only that robins grandmother claimed",to have seen the man.,GPT2
1710,"its part of my gift , she",said.,GPT2
1711,the video cut to a shot of,the scene.,GPT2
1712,i can bring him such pleasure that,he will not be able to do anything else.,GPT2
1713,she wiped her hands on her leggings-leggings she,"was wearing, and she was wearing a white dress.",GPT2
1714,only twelve days left to pull it all together,".""I'm not going to lie, I'm not going to lie,",GPT2
1715,"i 'm just not used to it ,",I'm not sure if it's because I'm not used to it or not.,GPT2
1716,my back slammed into the,wall.,GPT2
1717,"the timing is most auspicious , for today",'s world is a world of opportunity and opportunity is the only way to get there.,GPT2
1718,"with a reluctant sigh , the",man was about to leave.,GPT2
1719, grizelle is too well protected in her,own right.,GPT2
1720,"as i suspected , she 's","a good girl , she 's a good girl ,",GPT2
1721,"whenever he came home late , how would she","feel?""I'm not sure I want to be here,"" she said.",GPT2
1722," he is n't yours , but",you are mine .,GPT2
1723,"plus , you run",into a problem.,GPT2
1724,"darcy jogged up the path , her",eyes wide with excitement.,GPT2
1725,"think how sad that is , to",be honest.,GPT2
1726,"instead , it was a night that i",had to sleep.,GPT2
1727,this was not like trying to,get a job in the first place.,GPT2
1728,he stepped to the side and made,a face.,GPT2
1729,"skyler caught her arm , lowered","her head and said, ""I'm sorry, but I'm not going to let you go.",GPT2
1730,the illusion spell preys on their sense of,self.,GPT2
1731,"placing his pistol beside yamada , ueda pulled",out his pistol and fired a shot at the two men.,GPT2
1732, frank traced the white house calls to his,office.,GPT2
1733," swanny , whatever it is you tell",her.,GPT2
1734,he was tired of,being a part of the team.,GPT2
1735,michael had taken up a post near her,house in the city's west end.,GPT2
1736,the truth is that my death,was a result of a mistake.,GPT2
1737,he brought his other hand to my face,". ""I'm sorry, but I'm not going to be able to do this.""""I'm sorry,",GPT2
1738,"the girl , shivering in her thin robe , approached","the girl and said, ""I am a girl, and I am a girl.",GPT2
1739,that was n't one of the,things that I was looking for.,GPT2
1740," i was thinking that were i physically injured ,","but i was thinking that i was injured , but i was thinking that i was injured ,",GPT2
1741,i 'm the true,"God of the world, and the true God of the world,",GPT2
1742,"she was n't just a warrior ,","she was a warrior , she was a warrior ,",GPT2
1743,"a woman in the crowd cried ,  let","me go ,  let me go ,",GPT2
1744,the only exception is your,own.,GPT2
1745,it wouldnt do for the viscountess of marseilles to hide,the fact that the French were not the only ones who were in the way.,GPT2
1746,"i know what i look like , lena",", i know what i look like ,",GPT2
1747,knives of every sort littered the,streets of the city.,GPT2
1748,it 'd be easy to find,", and to be able to find it in the same way as you do in the real world.",GPT2
1749,but five minutes is all that,'s left.,GPT2
1750,he grabbed kyrian around the waist,and pulled him into a hug.,GPT2
1751,most of them had,been killed by the Taliban.,GPT2
1752, you were all punished,for your actions.,GPT2
1753,and a moment later :,"DI'm not sure if I'm going to be able to do this, but I'm sure I'll be able to do it.",GPT2
1754,he nodded as he,looked at the two of them.,GPT2
1755,"deep within riordan 's mind , zacarias gathered",together to form a new order of things.,GPT2
1756,"a man stood there , dressed in a","white robe and a white hat , and said to him , "" I am a man of God .",GPT2
1757,"but just for your information , vinnie ,",you can use the following command to get the file:$ .,GPT2
1758,"wayde had halted in the threshold , and",the two men were taken to the hospital.,GPT2
1759,"i mean , that makes you",feel like you're in a different place.,GPT2
1760,he scooted his chair closer so their knees,could meet.,GPT2
1761,"drawing in short and shallow breaths , she placed",her hands on her hips and began to move her hips.,GPT2
1762,"and yours , madame",".I'm not sure if you're aware of the fact that the first time I saw the movie,",GPT2
1763,holt slaps him on the shoulder a little,bit.,GPT2
1764,he hit the ball and they both,hit the ball.,GPT2
1765,i came to see if his words came,from the mouth of a man who had been a friend of mine.,GPT2
1766,i had something inside me that he 'd,like to see.,GPT2
1767,"mom will listen to me ,",and I will listen to you .,GPT2
1768,yet those brown eyes drew her into a molten,rage.,GPT2
1769,"and god , i wanted","to be a god, but i was too scared to do it.",GPT2
1770,"another voice joined , another , more ... a",few more .,GPT2
1771,this unveils the dew laden cobblestone,"road, which is now a major tourist attraction.",GPT2
1772,she 's never going out on a date,".""I'm not going to be a date. I'm not going to be a date. I'm not going to be a date. I'm not going to be a date. I",GPT2
1773,they will be taking the speedy motorway journey,to the city centre.,GPT2
1774,whereas most women would have been content to,wait until they were married.,GPT2
1775,his gaze fell to the,ground.,GPT2
1776,and dee was trying to force,her to do something.,GPT2
1777,"if i 'd have known , i","'d have known , i 'd have known ,",GPT2
1778,she had her flashlight on the metal markers,".""I'm not going to let you get away with it,",GPT2
1779,her father had another new girlfriend posing as,a prostitute.,GPT2
1780,i take another sip of my wine and,I'm sure I'll be fine.,GPT2
1781,"without further encouragement , i pulled off my","first ever ""I'm not going to lie"" speech.",GPT2
1782,"he glanced at sherrad , but the",man was still staring at him.,GPT2
1783,he shakes his head and points,to the floor.,GPT2
1784,fuck sharing mae with a,guy who is a fucking slut.,GPT2
1785,not quite so funny was the kick,#NAME?,GPT2
1786,"apparently , that five minutes had been","spent on the subject of the ""sickening"" and ""unnatural"" nature of the ""sickening"" and ""unnatural"" nature of the ""sickening"" and ""unnatural""",GPT2
1787, how could you trust,them?I'm not sure if you're aware of the fact that the majority of the people who are in the business of selling and buying are not very good at it.,GPT2
1788, are n't you going,"to be able to get a job?""""I'm not going to be able to get a job,"" she said.",GPT2
1789,and apparently had detected or suspected something in,the air.,GPT2
1790,looking the way lucas did,".""I'm not sure if you're right,",GPT2
1791,it 's an island with vory little growth,.The island is a small island with a small population. It is a small island with a small population. It is a small island with a small population. It is a small island with,GPT2
1792,"he was tall , thin ,",and had a very thin face.,GPT2
1793,"he leaned his face over mine , so",I could see his face.,GPT2
1794," mid back ,",and he's been a great player.,GPT2
1795,the snow was now at least,"a foot thick, and the snow was still falling.",GPT2
1796,"the idea was ridiculous , but preferable to","the idea of a ""real"" world.",GPT2
1797,the guard drew back the bolt and opened,the door.,GPT2
1798,blood was running out of,time.,GPT2
1799,the two sober adults looked upon the drenched and drunken,man as a threat to their lives.,GPT2
1800,jack lurched after him as he glided between vending,machines.,GPT2
1801, you know the biker,"'s name, you know the biker's name,",GPT2
1802,knowing he had only seconds before he was,shot.,GPT2
1803,"in the meantime , work some of your computer magic",on your computer and you'll be able to see the results.,GPT2
1804,brett could n't let her,go.,GPT2
1805,"she teased him with her tongue , tracing",her fingers along his neck.,GPT2
1806,she 'd felt things with him she,didn't like.,GPT2
1807,"her loyalty was to her colleagues , the",people who had been her friends and family.,GPT2
1808,she allowed her thoughts to return then,she was able to see that the girl was still alive.,GPT2
1809,he had n't shared a social conversation with,her.,GPT2
1810,"heck , my dad","'s favorite, and my mom's favorite.",GPT2
1811, and where was ignazio,?The answer is that the answer is that the answer is that the answer is that the answer is that the answer is that the answer is that the answer is that the answer is that the answer is that the,GPT2
1812,you will shut your mouth and do your,best to keep your mouth shut.,GPT2
1813,i suppose we should see to ?,The first thing to do is to make sure that the system is working properly.,GPT2
1814,"prison food wasnt all that bad , he said ,","""I'm not sure if it's a good idea to eat it, but I'm sure it's a good idea to eat it.",GPT2
1815,"the night holds fast , and the",night is not long.,GPT2
1816, but i 'd be sorry,if i'm not able to do this.,GPT2
1817," sit down , '' he ordered , pointing",to the floor.,GPT2
1818,"i know you do n't get it , but",I'm not going to lie to you.,GPT2
1819,i climb over levels three and four,".""I'm not sure if it's a good idea to climb over the top of the mountain,",GPT2
1820," all right , '' belgarath said to",the man.,GPT2
1821,"surprisingly , julian sent us a message and we",were able to get the game to work.,GPT2
1822,ive never met dannyhes not on my floorexcept,"ors, but on my dannyhes.",GPT2
1823,pavlovich looks resigned to the fact that hes,itating to take the job is not going to help him.,GPT2
1824,"the judge asked , ","""What is the meaning of the word 'fool'?""""Fool is a term used to describe a person who is not a good person, who is not a good person,",GPT2
1825,"seth was intoxicated , but not so much",that he was able to stop the car.,GPT2
1826,"marty , how did you","get into the game?I was a kid, and I was playing with my dad.",GPT2
1827,its nothing compared to willfully and maliciously,destroying the lives of innocent people.,GPT2
1828,it was almost as if,he was trying to get his hands on the keys.,GPT2
1829, you want to try,it out.,GPT2
1830, more than you,think.,GPT2
1831,"sound and noise , memory and image , all of",which are important for understanding the neural mechanisms underlying the visual experience.,GPT2
1832,it is marius who weeds the good from,the bad.,GPT2
1833,i started toward the dirty tables when i,saw him.,GPT2
1834," well , put it on abby ,",and then you'll be able to see it in action.,GPT2
1835,it would take a few days for,the team to get back to the drawing board.,GPT2
1836,she was instantly on her feet and crossing,the street.,GPT2
1837,"to his surprise ,",he was able to get the ball out of his hands and get the ball back to him.,GPT2
1838,he 'd thought he could pleasure,"me, and I was glad to see him,",GPT2
1839," if you know of anyone , please",let me know.,GPT2
1840,no protogen hired thugs shepherding,her to the edge of the world.,GPT2
1841," you could draw blood for lab tests ,",but I'm not sure if that's a good idea.,GPT2
1842,if the perp was the same,"as the other two, the perp would be the same as the other two.",GPT2
1843,"i knew where this was going ,",but he didn't know where to go.,GPT2
1844,she also knew that they needed,to get the money back.,GPT2
1845,the room blurred as,the two men began to talk.,GPT2
1846,he had forgotten how painful the touch of,his hand was.,GPT2
1847,"'hey , frank , there 's a monkey",in the room.,GPT2
1848,"he well , someone else had gotten",a lot of money from the government.,GPT2
1849,"the door tinkled as she left , and",the door opened and the door shut.,GPT2
1850,but the templar grand master was quicker,than the other.,GPT2
1851,so he was just as shocked as jewell,ers.,GPT2
1852,celeste seemed to take in the fact that,the city was still in the process of being rebuilt.,GPT2
1853,"he punched in the buttons , tuned it ,",and then went to work.,GPT2
1854, why 's my phone disconnected along,"with my phone?""""I don't know.",GPT2
1855, do you want,to do?I'm not sure.,GPT2
1856,"this aint no area for you , rand",". rand ( 0 , 0 ,",GPT2
1857,"their scents flooded chase 's senses , making it",difficult to distinguish between the two.,GPT2
1858,that is where i see us,".I'm not sure if this is a good idea or not, but i'm sure it's a good idea.I'm not sure if this is a good idea or not,",GPT2
1859,"he started up a steady rhythm , bouncing",off the walls of the room.,GPT2
1860,"saffi turned to him , reluctance",to admit his own sins.,GPT2
1861, do n't you,think it's a good idea to have a little bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a,GPT2
1862, so what 's alexander like,"me?'""I'm not sure.",GPT2
1863,he centered his shot,"on the rim, and he was able to get to the rim.",GPT2
1864,tell me what else is,going on.,GPT2
1865,dahlia sat at the,"head of the table, and the two of them sat down,",GPT2
1866,"she asks , standing","up, ""What do you think of the idea of a man who is a man and a woman who are both men and women?""""I think that's a very interesting question,"" says the man.",GPT2
1867, i feel like that damn song ...,I'm not sure if I'm going to be able to sing it again.,GPT2
1868,i want to make sure,that we're not going to be able to do that.,GPT2
1869,"i slid into my bedroom noiselessly , grabbed",my hand and pulled me into her arms.,GPT2
1870,"copy ninety minutes , sean replied",", ""I'm not sure I can do that.",GPT2
1871,"the interview was long over , but i",think it was a good one.,GPT2
1872,i logged on and saw a new,page.,GPT2
1873, why would he do,"that?""I don't know.",GPT2
1874,"to my relief , there were n't as",many people as there were in the past.,GPT2
1875,"this whole place will be in shadow ,",and the whole place will be in shadow .,GPT2
1876, usually the child will,be able to see the world through the eyes of the child.,GPT2
1877,"now , i am left with pieces of",paper that I can't read.,GPT2
1878,her face radiated the iron will of a,man who had been born in the same place.,GPT2
1879,"as selena 's feet set to walking ,",and the rest of the body is covered with a layer of skin.,GPT2
1880,ced jumped out almost before the,end of the second half.,GPT2
1881,i had n't considered that my,father was a good man.,GPT2
1882,"shit , i 'd undo","the undo ' , i 'd undo the undo ' ,",GPT2
1883," and if i tell you ,",i will tell you that i am not a liar.,GPT2
1884,"aside from the spray paint , decorations were sparse and",the paint was not very strong.,GPT2
1885,he said firmly as he,spoke.,GPT2
1886,she swam with her head above,the water.,GPT2
1887,he strengthened his mental chokehold on the,"man, who was then shot in the head.",GPT2
1888," i know , but what if you come","back and you're like, ""I'm not going to do this anymore?""I'm not going to do this anymore.",GPT2
1889,it was all eileen 's,fault.,GPT2
1890,"good-night , captain garret , peter added bitterly , and",the rest of the crew were all in the same boat.,GPT2
1891,"i lose my breath , lose my ability","to breathe , lose my ability to move ,",GPT2
1892,"he would n't admit it to her , but she",was so happy to see him.,GPT2
1893,"he leaves , jogging down the hallway and",into the kitchen.,GPT2
1894,"but this , this was",a very good game.,GPT2
1895,i looked at the new drink and felt,a little bit of a rush.,GPT2
1896,prince charming could have had no easier passage,".""I'm sorry, but I'm not going to be able to do this,",GPT2
1897,he stopped as she ran her finger,through her hair.,GPT2
1898,he 's been visiting me,for a while now and I'm really happy to see him.,GPT2
1899,i reached inside the mini-fridge and,pulled out a small box of frozen peas.,GPT2
1900,"at my words , her expression slowly falls",".""I'm sorry,",GPT2
1901, i do n't have the pretty words,to say.,GPT2
1902,baannas head easily cleared the,way for the first goal.,GPT2
1903,want to help us,out.,GPT2
1904,"gemma swallowed hard , stood from the vanity ,","and looked at the sky with a smile , and said ,",GPT2
1905,i can feel the tears,streaming down his face.,GPT2
1906,theres a fine royal blue with,a red stripe on it.,GPT2
1907,garion found that the muscles of his legs,were not as strong as those of his feet.,GPT2
1908,he told me the town gossip for a,while.,GPT2
1909,and one or two of,the other three.,GPT2
1910,just thinking about walking into the throne room,and seeing the throne room.,GPT2
1911,the old lady at the bed and breakfast,"table, and the old lady at the table and breakfast table,",GPT2
1912,"the kids , being kids , had n't seemed to",be a big deal.,GPT2
1913, you do n't need,to be a little bit more careful.,GPT2
1914,this is your breakthrough and its free too,.The first thing you need to do is to get your hands on a copy of the book.The book is called The Book of the Dead.The book is called The Book,GPT2
1915,they engaged in a silent tug of war,with the government of the day.,GPT2
1916,her fault for having left,the country.,GPT2
1917,i walk back to the,house.,GPT2
1918,"with my coffee cup in hand , i","'m going to go to the bathroom and get my coffee cup in hand , i'm going to go to the bathroom and get my coffee cup in hand ,",GPT2
1919,my mom kept gabbing in my ear,. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared.,GPT2
1920,thank you for allowing this,to happen.,GPT2
1921,i guess that 's why the women,are so much more likely to be raped than the men.,GPT2
1922,"i could n't do it , i would","have to do it , i would have to do it ,",GPT2
1923,he blushed and looked down at his,hands.,GPT2
1924,the very air one breathes turns hot and,humid.,GPT2
1925,"still , she also knew the pitfalls of someone",who was not a good fit for her.,GPT2
1926,but he did n't curse the wind or,the rain.,GPT2
1927,the static was cut off,", and the rest of the static was removed.",GPT2
